source,datetime,location,report,status,tags
Neighborhood Watch - Allen,2025-09-14 05:46:14,Ikeja Along,Alert from Neighborhood Watch - Allen: traffic accident reported near Ikeja Along; responders en route.,Resolved,"protest,vigilante,burglary_attempt"
Neighborhood Watch - Ikeja GRA,2025-08-05 18:27:00,Adekunle Fajuyi Way,Neighborhood Watch - Ikeja GRA responded to attempted break-in at Adekunle Fajuyi Way. Situation: dispatched.,Dispatched,"medical,road_closure"
LASEMA,2025-08-13 08:47:26,Ipodo,LASEMA responded to medical emergency at Ipodo. Situation: reported.,Reported,"suspicious_vehicle,fire"
Neighborhood Watch - Oregun,2025-07-30 20:50:33,Awolowo Way,Neighborhood Watch - Oregun log: minor fire at Awolowo Way; crowd control and fire suppression.,Dispatched,"suspicious_vehicle,vigilante,medical"
Neighborhood Watch - Allen,2025-08-23 18:38:46,Ipodo,Alert from Neighborhood Watch - Allen: collapsed kiosk reported near Ipodo; responders en route.,Resolved,"protest,assault,accident"
LASTMA,2025-09-05 13:22:35,Opebi,LASTMA log: assault on motorist at Opebi; crowd control and medical triage.,Reported,"suspicious_vehicle,vigilante,assault"
LASEMA,2025-08-31 02:48:17,Oba Akran,LASEMA responded to traffic accident at Oba Akran. Situation: dispatched.,Dispatched,"flooding,vigilante,medical,road_closure"
Neighborhood Watch - Allen,2025-08-28 19:32:25,Alausa,Neighborhood Watch - Allen log: attempted break-in at Alausa; crowd control and police notification.,Ongoing,"fire,medical"
LASTMA,2025-09-02 13:16:40,Adekunle Fajuyi Way,LASTMA responded to assault on motorist at Adekunle Fajuyi Way. Situation: resolved.,Resolved,"assault,burglary_attempt"
LASTMA,2025-08-24 17:10:03,Secretariat Bus Stop,LASTMA responded to road blockage from protest at Secretariat Bus Stop. Situation: unresolved.,Unresolved,"suspicious_vehicle,accident"
Neighborhood Watch - Ikeja GRA,2025-07-30 17:29:44,Alausa,Alert from Neighborhood Watch - Ikeja GRA: flooded underpass reported near Alausa; responders en route.,Monitoring,"vigilante,fire,assault"
LASTMA,2025-07-28 23:38:09,Allen Avenue,Alert from LASTMA: minor fire reported near Allen Avenue; responders en route.,Ongoing,"suspicious_vehicle,fire,road_closure,accident"
Neighborhood Watch - Oregun,2025-07-23 02:27:12,Ipodo,Alert from Neighborhood Watch - Oregun: assault on motorist reported near Ipodo; responders en route.,Monitoring,"medical,road_closure"
Neighborhood Watch - Ikeja GRA,2025-07-28 12:46:13,Ipodo,Neighborhood Watch - Ikeja GRA notes petty theft in market around Ipodo. Area under ongoing.,Ongoing,"suspicious_vehicle,medical,accident"
Neighborhood Watch - Ikeja GRA,2025-08-23 06:16:41,Computer Village,Neighborhood Watch - Ikeja GRA notes assault on motorist around Computer Village. Area under resolved.,Resolved,"traffic,fire"
LASEMA,2025-09-05 23:04:30,Adekunle Fajuyi Way,LASEMA responded to minor fire at Adekunle Fajuyi Way. Situation: monitoring.,Monitoring,"traffic,suspicious_vehicle,road_closure,accident"
LASEMA,2025-09-07 07:09:08,Ipodo,LASEMA responded to hit-and-run at Ipodo. Situation: ongoing.,Ongoing,"traffic,assault,road_closure,accident"
LASEMA,2025-09-20 13:44:55,Computer Village,LASEMA responded to traffic accident at Computer Village. Situation: resolved.,Resolved,"suspicious_vehicle,vigilante,burglary_attempt"
LASEMA,2025-08-07 01:03:33,Ikeja Along,LASEMA log: attempted break-in at Ikeja Along; crowd control and diversion setup.,Unresolved,"flooding,suspicious_vehicle"
LASTMA,2025-09-08 19:42:00,Lonlo,LASTMA notes traffic accident around Lonlo. Area under dispatched.,Dispatched,"traffic,fire,burglary_attempt,road_closure"
LASEMA,2025-08-10 21:19:05,Lonlo,LASEMA log: traffic accident at Lonlo; crowd control and fire suppression.,Monitoring,"flooding,accident"
Neighborhood Watch - Allen,2025-08-25 03:08:58,Oregun,Neighborhood Watch - Allen notes suspicious vehicle circling estate around Oregun. Area under monitoring.,Monitoring,"burglary_attempt,road_closure"
Neighborhood Watch - Allen,2025-07-22 13:38:55,Alausa,Neighborhood Watch - Allen log: hit-and-run at Alausa; crowd control and diversion setup.,Reported,"flooding,burglary_attempt"
Neighborhood Watch - Allen,2025-08-23 13:43:05,Adeniyi Jones,Neighborhood Watch - Allen notes attempted break-in around Adeniyi Jones. Area under resolved.,Resolved,"protest,assault,road_closure"
Neighborhood Watch - Allen,2025-09-12 14:21:59,Computer Village,Neighborhood Watch - Allen log: suspicious vehicle circling estate at Computer Village; crowd control and medical triage.,Resolved,"vigilante,road_closure"
LASEMA,2025-09-09 09:46:50,Awolowo Way,Alert from LASEMA: petty theft in market reported near Awolowo Way; responders en route.,Resolved,"protest,vigilante,accident"
LASTMA,2025-08-31 06:03:49,Adeniyi Jones,LASTMA notes flooded underpass around Adeniyi Jones. Area under monitoring.,Monitoring,"traffic,fire,assault,road_closure"
LASEMA,2025-08-02 12:21:40,Secretariat Bus Stop,Alert from LASEMA: road blockage from protest reported near Secretariat Bus Stop; responders en route.,Resolved,"protest,fire,road_closure"
Neighborhood Watch - Oregun,2025-09-06 16:30:46,Ikeja GRA,Neighborhood Watch - Oregun notes suspicious vehicle circling estate around Ikeja GRA. Area under monitoring.,Monitoring,"suspicious_vehicle,assault,burglary_attempt,road_closure"
LASEMA,2025-07-30 02:26:30,Opebi,LASEMA log: suspicious vehicle circling estate at Opebi; crowd control and diversion setup.,Unresolved,"traffic,protest,fire,assault"
Neighborhood Watch - Oregun,2025-08-14 13:08:58,Opebi,Neighborhood Watch - Oregun responded to petty theft in market at Opebi. Situation: dispatched.,Dispatched,"traffic,vigilante,assault,road_closure"
Neighborhood Watch - Ikeja GRA,2025-09-10 22:18:23,Alausa,Neighborhood Watch - Ikeja GRA responded to suspicious vehicle circling estate at Alausa. Situation: ongoing.,Ongoing,"traffic,accident"
Neighborhood Watch - Ikeja GRA,2025-09-04 00:39:07,Ikeja Along,Neighborhood Watch - Ikeja GRA responded to hit-and-run at Ikeja Along. Situation: resolved.,Resolved,"flooding,fire,assault,vigilante"
Neighborhood Watch - Allen,2025-08-15 22:38:56,Adeniyi Jones,Neighborhood Watch - Allen log: flooded underpass at Adeniyi Jones; crowd control and tow truck requested.,Unresolved,"suspicious_vehicle,fire,medical"
LASTMA,2025-08-18 03:33:04,Alausa,Alert from LASTMA: assault on motorist reported near Alausa; responders en route.,Unresolved,"medical,fire,road_closure"
Neighborhood Watch - Allen,2025-07-24 23:30:05,Ikeja Along,Neighborhood Watch - Allen notes road blockage from protest around Ikeja Along. Area under ongoing.,Ongoing,"medical,accident"
Neighborhood Watch - Ikeja GRA,2025-09-06 18:20:18,Secretariat Bus Stop,Alert from Neighborhood Watch - Ikeja GRA: petty theft in market reported near Secretariat Bus Stop; responders en route.,Unresolved,"medical,assault,burglary_attempt,accident"
Neighborhood Watch - Allen,2025-09-06 15:31:48,Alausa,Alert from Neighborhood Watch - Allen: minor fire reported near Alausa; responders en route.,Resolved,"vigilante,burglary_attempt,road_closure"
LASTMA,2025-09-10 01:47:07,Computer Village,Alert from LASTMA: assault on motorist reported near Computer Village; responders en route.,Dispatched,"vigilante,medical"
Neighborhood Watch - Allen,2025-08-15 12:57:02,Ikeja GRA,Neighborhood Watch - Allen notes suspicious vehicle circling estate around Ikeja GRA. Area under ongoing.,Ongoing,"suspicious_vehicle,road_closure"
Neighborhood Watch - Ikeja GRA,2025-08-19 09:30:07,Awolowo Way,Alert from Neighborhood Watch - Ikeja GRA: flooded underpass reported near Awolowo Way; responders en route.,Monitoring,"burglary_attempt,assault,road_closure,accident"
Neighborhood Watch - Allen,2025-07-24 18:56:49,Awolowo Way,Neighborhood Watch - Allen notes medical emergency around Awolowo Way. Area under resolved.,Resolved,"traffic,flooding,burglary_attempt"
LASTMA,2025-09-11 08:26:51,Secretariat Bus Stop,LASTMA log: attempted break-in at Secretariat Bus Stop; crowd control and medical triage.,Monitoring,"flooding,vigilante,road_closure"
LASTMA,2025-07-24 00:27:08,Secretariat Bus Stop,LASTMA log: hit-and-run at Secretariat Bus Stop; crowd control and police notification.,Ongoing,"suspicious_vehicle,medical,assault"
Neighborhood Watch - Oregun,2025-08-20 11:11:18,Awolowo Way,Alert from Neighborhood Watch - Oregun: suspicious vehicle circling estate reported near Awolowo Way; responders en route.,Reported,"assault,accident"
Neighborhood Watch - Allen,2025-08-09 12:37:19,Opebi,Alert from Neighborhood Watch - Allen: suspicious vehicle circling estate reported near Opebi; responders en route.,Unresolved,"medical,fire,suspicious_vehicle,accident"
LASEMA,2025-08-13 06:30:41,Ipodo,LASEMA responded to hit-and-run at Ipodo. Situation: monitoring.,Monitoring,"suspicious_vehicle,medical"
Neighborhood Watch - Oregun,2025-09-15 22:02:46,Oba Akran,Neighborhood Watch - Oregun notes suspicious vehicle circling estate around Oba Akran. Area under dispatched.,Dispatched,"suspicious_vehicle,road_closure"
Neighborhood Watch - Ikeja GRA,2025-08-18 08:34:45,Secretariat Bus Stop,Neighborhood Watch - Ikeja GRA log: traffic accident at Secretariat Bus Stop; crowd control and tow truck requested.,Ongoing,"suspicious_vehicle,vigilante"
Neighborhood Watch - Oregun,2025-08-09 14:20:00,Oregun,Neighborhood Watch - Oregun responded to petty theft in market at Oregun. Situation: ongoing.,Ongoing,"flooding,medical,traffic,burglary_attempt"
LASTMA,2025-08-27 12:21:55,Adeniyi Jones,Alert from LASTMA: traffic accident reported near Adeniyi Jones; responders en route.,Unresolved,"vigilante,medical,fire"
LASEMA,2025-08-25 12:03:30,Computer Village,Alert from LASEMA: flooded underpass reported near Computer Village; responders en route.,Dispatched,"suspicious_vehicle,medical,accident"
LASTMA,2025-09-12 12:24:05,Computer Village,Alert from LASTMA: collapsed kiosk reported near Computer Village; responders en route.,Monitoring,"protest,vigilante,assault,road_closure"
Neighborhood Watch - Oregun,2025-08-09 09:20:12,Adeniyi Jones,Neighborhood Watch - Oregun log: suspicious vehicle circling estate at Adeniyi Jones; crowd control and fire suppression.,Unresolved,"traffic,medical,assault"
Neighborhood Watch - Oregun,2025-07-25 19:43:47,Allen Avenue,Alert from Neighborhood Watch - Oregun: traffic accident reported near Allen Avenue; responders en route.,Monitoring,"suspicious_vehicle,medical,accident"
Neighborhood Watch - Oregun,2025-09-12 13:56:35,Opebi,Neighborhood Watch - Oregun log: attempted break-in at Opebi; crowd control and tow truck requested.,Dispatched,"flooding,suspicious_vehicle"
Neighborhood Watch - Ikeja GRA,2025-08-25 18:55:16,Awolowo Way,Neighborhood Watch - Ikeja GRA log: traffic accident at Awolowo Way; crowd control and tow truck requested.,Ongoing,"suspicious_vehicle,road_closure"
Neighborhood Watch - Oregun,2025-09-19 17:34:16,Ikeja GRA,Alert from Neighborhood Watch - Oregun: petty theft in market reported near Ikeja GRA; responders en route.,Dispatched,"vigilante,burglary_attempt"
Neighborhood Watch - Ikeja GRA,2025-09-09 16:47:23,Mobolaji Bank Anthony Way,Neighborhood Watch - Ikeja GRA responded to flooded underpass at Mobolaji Bank Anthony Way. Situation: unresolved.,Unresolved,"traffic,protest,accident"
LASTMA,2025-08-16 04:16:27,Allen Avenue,LASTMA responded to minor fire at Allen Avenue. Situation: resolved.,Resolved,"vigilante,fire,road_closure,accident"
LASEMA,2025-07-29 17:32:48,Ipodo,LASEMA log: petty theft in market at Ipodo; crowd control and fire suppression.,Reported,"protest,accident"
Neighborhood Watch - Ikeja GRA,2025-09-12 09:13:00,Mobolaji Bank Anthony Way,Neighborhood Watch - Ikeja GRA notes attempted break-in around Mobolaji Bank Anthony Way. Area under reported.,Reported,"traffic,suspicious_vehicle,flooding,road_closure"
LASTMA,2025-07-27 00:56:52,Secretariat Bus Stop,Alert from LASTMA: flooded underpass reported near Secretariat Bus Stop; responders en route.,Reported,"road_closure,accident"
LASEMA,2025-08-04 18:52:17,Oregun,LASEMA notes road blockage from protest around Oregun. Area under reported.,Reported,"traffic,protest,fire,burglary_attempt"
LASTMA,2025-07-22 09:25:31,Adekunle Fajuyi Way,Alert from LASTMA: road blockage from protest reported near Adekunle Fajuyi Way; responders en route.,Reported,"traffic,assault"
LASEMA,2025-08-26 06:41:59,Computer Village,LASEMA responded to traffic accident at Computer Village. Situation: ongoing.,Ongoing,"assault,road_closure"
Neighborhood Watch - Ikeja GRA,2025-08-30 22:14:25,Adeniyi Jones,Neighborhood Watch - Ikeja GRA responded to traffic accident at Adeniyi Jones. Situation: ongoing.,Ongoing,"traffic,suspicious_vehicle,medical,road_closure"
LASTMA,2025-08-11 23:06:39,Oregun,LASTMA notes traffic accident around Oregun. Area under dispatched.,Dispatched,"flooding,vigilante,road_closure"
Neighborhood Watch - Oregun,2025-08-10 17:40:19,Oba Akran,Neighborhood Watch - Oregun notes traffic accident around Oba Akran. Area under unresolved.,Unresolved,"vigilante,fire"
Neighborhood Watch - Allen,2025-08-02 09:09:23,Oba Akran,Alert from Neighborhood Watch - Allen: assault on motorist reported near Oba Akran; responders en route.,Reported,"road_closure,medical,burglary_attempt"
LASTMA,2025-09-09 14:50:15,Awolowo Way,LASTMA responded to assault on motorist at Awolowo Way. Situation: unresolved.,Unresolved,"flooding,traffic,medical"
LASEMA,2025-07-24 07:34:19,Ipodo,Alert from LASEMA: medical emergency reported near Ipodo; responders en route.,Monitoring,"medical,road_closure,accident"
LASTMA,2025-09-18 08:33:51,Oba Akran,LASTMA log: attempted break-in at Oba Akran; crowd control and diversion setup.,Reported,"assault,vigilante,burglary_attempt,fire"
Neighborhood Watch - Oregun,2025-07-22 19:35:01,Lonlo,Neighborhood Watch - Oregun log: suspicious vehicle circling estate at Lonlo; crowd control and fire suppression.,Monitoring,"medical,fire,assault"
LASEMA,2025-09-09 05:40:07,Secretariat Bus Stop,LASEMA log: flooded underpass at Secretariat Bus Stop; crowd control and diversion setup.,Ongoing,"traffic,road_closure"
Neighborhood Watch - Oregun,2025-09-17 06:39:37,Awolowo Way,Neighborhood Watch - Oregun log: assault on motorist at Awolowo Way; crowd control and tow truck requested.,Dispatched,"suspicious_vehicle,road_closure,accident"
Neighborhood Watch - Oregun,2025-07-23 06:50:30,Alausa,Neighborhood Watch - Oregun log: minor fire at Alausa; crowd control and police notification.,Resolved,"traffic,protest"
LASEMA,2025-08-24 00:47:11,Oba Akran,LASEMA responded to flooded underpass at Oba Akran. Situation: reported.,Reported,"assault,road_closure"
Neighborhood Watch - Oregun,2025-09-13 19:01:18,Mobolaji Bank Anthony Way,Alert from Neighborhood Watch - Oregun: flooded underpass reported near Mobolaji Bank Anthony Way; responders en route.,Monitoring,"flooding,medical,protest,burglary_attempt"
LASEMA,2025-08-06 00:24:52,Mobolaji Bank Anthony Way,LASEMA notes collapsed kiosk around Mobolaji Bank Anthony Way. Area under reported.,Reported,"traffic,accident"
Neighborhood Watch - Oregun,2025-08-05 01:00:56,Adekunle Fajuyi Way,Neighborhood Watch - Oregun responded to petty theft in market at Adekunle Fajuyi Way. Situation: monitoring.,Monitoring,"medical,fire,burglary_attempt"
Neighborhood Watch - Oregun,2025-08-16 10:39:25,Mobolaji Bank Anthony Way,Neighborhood Watch - Oregun log: petty theft in market at Mobolaji Bank Anthony Way; crowd control and medical triage.,Monitoring,"suspicious_vehicle,medical"
Neighborhood Watch - Ikeja GRA,2025-08-01 13:42:22,Ipodo,Neighborhood Watch - Ikeja GRA notes petty theft in market around Ipodo. Area under reported.,Reported,"suspicious_vehicle,protest,road_closure,accident"
LASTMA,2025-08-24 06:10:50,Secretariat Bus Stop,LASTMA responded to medical emergency at Secretariat Bus Stop. Situation: monitoring.,Monitoring,"suspicious_vehicle,road_closure"
LASEMA,2025-08-26 12:58:53,Mobolaji Bank Anthony Way,Alert from LASEMA: attempted break-in reported near Mobolaji Bank Anthony Way; responders en route.,Reported,"protest,vigilante,medical,burglary_attempt"
Neighborhood Watch - Allen,2025-07-23 05:19:02,Computer Village,Neighborhood Watch - Allen log: hit-and-run at Computer Village; crowd control and diversion setup.,Unresolved,"fire,medical,road_closure,burglary_attempt"
Neighborhood Watch - Oregun,2025-08-27 04:21:34,Ipodo,Alert from Neighborhood Watch - Oregun: collapsed kiosk reported near Ipodo; responders en route.,Resolved,"medical,assault,road_closure"
Neighborhood Watch - Oregun,2025-08-25 10:13:33,Opebi,Neighborhood Watch - Oregun notes petty theft in market around Opebi. Area under dispatched.,Dispatched,"traffic,medical,fire,assault"
Neighborhood Watch - Ikeja GRA,2025-07-22 21:00:42,Oba Akran,Alert from Neighborhood Watch - Ikeja GRA: flooded underpass reported near Oba Akran; responders en route.,Ongoing,"flooding,vigilante,fire,assault"
Neighborhood Watch - Allen,2025-09-01 14:35:40,Computer Village,Alert from Neighborhood Watch - Allen: petty theft in market reported near Computer Village; responders en route.,Reported,"traffic,protest,fire,road_closure"
LASEMA,2025-09-03 15:38:38,Allen Avenue,LASEMA notes road blockage from protest around Allen Avenue. Area under ongoing.,Ongoing,"traffic,protest,medical,accident"
Neighborhood Watch - Ikeja GRA,2025-09-02 20:25:03,Ikeja Along,Alert from Neighborhood Watch - Ikeja GRA: suspicious vehicle circling estate reported near Ikeja Along; responders en route.,Ongoing,"medical,fire,assault"
Neighborhood Watch - Allen,2025-08-29 22:47:16,Oregun,Neighborhood Watch - Allen responded to flooded underpass at Oregun. Situation: reported.,Reported,"flooding,assault,road_closure,accident"
Neighborhood Watch - Ikeja GRA,2025-08-05 17:57:41,Computer Village,Alert from Neighborhood Watch - Ikeja GRA: road blockage from protest reported near Computer Village; responders en route.,Unresolved,"traffic,protest,medical,accident"
Neighborhood Watch - Oregun,2025-08-25 20:53:38,Opebi,Alert from Neighborhood Watch - Oregun: traffic accident reported near Opebi; responders en route.,Reported,"flooding,assault,accident"
Neighborhood Watch - Allen,2025-08-24 00:23:48,Adeniyi Jones,Neighborhood Watch - Allen notes flooded underpass around Adeniyi Jones. Area under reported.,Reported,"traffic,suspicious_vehicle,vigilante,flooding"
Neighborhood Watch - Allen,2025-07-29 14:56:58,Mobolaji Bank Anthony Way,Alert from Neighborhood Watch - Allen: road blockage from protest reported near Mobolaji Bank Anthony Way; responders en route.,Dispatched,"traffic,suspicious_vehicle,protest,road_closure"
LASEMA,2025-07-25 22:31:32,Mobolaji Bank Anthony Way,LASEMA notes road blockage from protest around Mobolaji Bank Anthony Way. Area under monitoring.,Monitoring,"medical,fire,assault"
LASTMA,2025-09-16 23:37:18,Allen Avenue,LASTMA notes hit-and-run around Allen Avenue. Area under resolved.,Resolved,"vigilante,fire,burglary_attempt"
LASTMA,2025-08-25 07:21:08,Awolowo Way,LASTMA notes road blockage from protest around Awolowo Way. Area under monitoring.,Monitoring,"flooding,protest,vigilante,road_closure"
Neighborhood Watch - Allen,2025-09-17 06:14:47,Computer Village,Alert from Neighborhood Watch - Allen: medical emergency reported near Computer Village; responders en route.,Monitoring,"traffic,protest,fire"
Neighborhood Watch - Oregun,2025-08-02 15:42:47,Secretariat Bus Stop,Neighborhood Watch - Oregun notes suspicious vehicle circling estate around Secretariat Bus Stop. Area under dispatched.,Dispatched,"traffic,assault,accident"
LASEMA,2025-08-18 22:01:06,Alausa,LASEMA log: minor fire at Alausa; crowd control and tow truck requested.,Resolved,"suspicious_vehicle,assault,road_closure"
LASTMA,2025-08-01 14:58:48,Ikeja Along,LASTMA responded to road blockage from protest at Ikeja Along. Situation: resolved.,Resolved,"flooding,suspicious_vehicle"
Neighborhood Watch - Ikeja GRA,2025-09-12 10:44:00,Adekunle Fajuyi Way,Alert from Neighborhood Watch - Ikeja GRA: hit-and-run reported near Adekunle Fajuyi Way; responders en route.,Ongoing,"flooding,fire,burglary_attempt,accident"
LASTMA,2025-08-09 07:13:16,Adekunle Fajuyi Way,LASTMA responded to traffic accident at Adekunle Fajuyi Way. Situation: ongoing.,Ongoing,"medical,road_closure"
Neighborhood Watch - Oregun,2025-07-22 06:30:32,Allen Avenue,Neighborhood Watch - Oregun responded to assault on motorist at Allen Avenue. Situation: monitoring.,Monitoring,"assault,road_closure,burglary_attempt"
Neighborhood Watch - Allen,2025-09-10 02:40:45,Alausa,Neighborhood Watch - Allen log: suspicious vehicle circling estate at Alausa; crowd control and diversion setup.,Unresolved,"flooding,medical,fire,road_closure"
Neighborhood Watch - Allen,2025-08-07 13:25:44,Awolowo Way,Alert from Neighborhood Watch - Allen: traffic accident reported near Awolowo Way; responders en route.,Monitoring,"suspicious_vehicle,protest,burglary_attempt,assault"
Neighborhood Watch - Allen,2025-09-20 04:56:23,Opebi,Neighborhood Watch - Allen responded to hit-and-run at Opebi. Situation: monitoring.,Monitoring,"traffic,road_closure"
LASTMA,2025-08-17 11:25:55,Secretariat Bus Stop,LASTMA log: flooded underpass at Secretariat Bus Stop; crowd control and fire suppression.,Ongoing,"burglary_attempt,road_closure"
Neighborhood Watch - Ikeja GRA,2025-09-01 03:26:18,Mobolaji Bank Anthony Way,Alert from Neighborhood Watch - Ikeja GRA: assault on motorist reported near Mobolaji Bank Anthony Way; responders en route.,Unresolved,"traffic,protest,burglary_attempt"
LASTMA,2025-08-28 04:07:09,Opebi,Alert from LASTMA: road blockage from protest reported near Opebi; responders en route.,Dispatched,"assault,accident"
LASTMA,2025-09-14 18:01:55,Mobolaji Bank Anthony Way,LASTMA responded to suspicious vehicle circling estate at Mobolaji Bank Anthony Way. Situation: monitoring.,Monitoring,"flooding,protest,assault"
LASEMA,2025-09-18 07:49:43,Secretariat Bus Stop,LASEMA notes road blockage from protest around Secretariat Bus Stop. Area under dispatched.,Dispatched,"vigilante,fire"
LASEMA,2025-09-04 20:22:49,Opebi,LASEMA responded to attempted break-in at Opebi. Situation: monitoring.,Monitoring,"medical,road_closure"
Neighborhood Watch - Allen,2025-08-01 20:52:17,Adekunle Fajuyi Way,Neighborhood Watch - Allen log: assault on motorist at Adekunle Fajuyi Way; crowd control and medical triage.,Unresolved,"protest,accident"
LASTMA,2025-07-26 20:03:35,Lonlo,LASTMA log: attempted break-in at Lonlo; crowd control and fire suppression.,Ongoing,"protest,assault"
